src,slice_num,img_slice,mask_slice,mask_mean_0,mask_mean_1,mask_mean_2,img_mean,lng,lat,partition
0,003,og_dataset/splits/train/slice_0_img_003.npy,og_dataset/splits/train/slice_0_mask_003.npy,0.0,0.0,0.0,189.76698303222656,379341.75438596494,3572176.06391926,train
0,004,og_dataset/splits/train/slice_0_img_004.npy,og_dataset/splits/train/slice_0_mask_004.npy,0.0,0.0,0.0,198.22950744628906,394523.68421052635,3572176.06391926,train
0,015,og_dataset/splits/train/slice_0_img_015.npy,og_dataset/splits/train/slice_0_mask_015.npy,0.0,0.0,0.0,79.9453125,333795.9649122807,3587358.19175778,train
0,030,og_dataset/splits/train/slice_0_img_030.npy,og_dataset/splits/train/slice_0_mask_030.npy,0.0,0.0,0.0,59.98100280761719,333795.9649122807,3602540.3195963,train
0,039,og_dataset/splits/train/slice_0_img_039.npy,og_dataset/splits/train/slice_0_mask_039.npy,0.0,0.0,0.0,254.50852966308594,470433.3333333333,3602540.3195963,train
0,048,og_dataset/splits/train/slice_0_img_048.npy,og_dataset/splits/train/slice_0_mask_048.npy,0.0,0.0,0.0,164.61959838867188,379341.75438596494,3617722.4474348193,train
0,060,og_dataset/splits/train/slice_0_img_060.npy,og_dataset/splits/train/slice_0_mask_060.npy,0.0,0.0,0.0,34.57539367675781,333795.9649122807,3632904.575273339,train
0,064,og_dataset/splits/train/slice_0_img_064.npy,og_dataset/splits/train/slice_0_mask_064.npy,0.0,0.0,0.0,143.50503540039062,394523.68421052635,3632904.575273339,train
0,067,og_dataset/splits/train/slice_0_img_067.npy,og_dataset/splits/train/slice_0_mask_067.npy,0.0,0.0,0.0,212.64125061035156,440069.47368421056,3632904.575273339,train
0,079,og_dataset/splits/dev/slice_0_img_079.npy,og_dataset/splits/dev/slice_0_mask_079.npy,0.0,0.0,0.0,142.01412963867188,394523.68421052635,3648086.703111859,dev
0,080,og_dataset/splits/test/slice_0_img_080.npy,og_dataset/splits/test/slice_0_mask_080.npy,0.0,0.0,0.0,155.77073669433594,409705.6140350877,3648086.703111859,test
0,088,og_dataset/splits/train/slice_0_img_088.npy,og_dataset/splits/train/slice_0_mask_088.npy,0.0,0.0,0.0,290.4402770996094,531161.052631579,3648086.703111859,train
0,102,og_dataset/splits/train/slice_0_img_102.npy,og_dataset/splits/train/slice_0_mask_102.npy,0.0,0.0,0.0,184.74954223632812,515979.1228070176,3663268.8309503784,train
0,105,og_dataset/splits/train/slice_0_img_105.npy,og_dataset/splits/train/slice_0_mask_105.npy,0.0,0.0,0.0,33.735313415527344,333795.9649122807,3678450.9587888983,train
0,115,og_dataset/splits/train/slice_0_img_115.npy,og_dataset/splits/train/slice_0_mask_115.npy,0.0,0.0,0.0,145.7587127685547,485615.2631578947,3678450.9587888983,train
0,117,og_dataset/splits/train/slice_0_img_117.npy,og_dataset/splits/train/slice_0_mask_117.npy,0.0,0.0,0.0,207.30819702148438,515979.1228070176,3678450.9587888983,train
0,119,og_dataset/splits/test/slice_0_img_119.npy,og_dataset/splits/test/slice_0_mask_119.npy,0.0,0.0,0.0,126.5723648071289,546342.9824561405,3678450.9587888983,test
0,120,og_dataset/splits/train/slice_0_img_120.npy,og_dataset/splits/train/slice_0_mask_120.npy,0.0,0.0,0.0,34.63230895996094,333795.9649122807,3693633.086627418,train
0,121,og_dataset/splits/dev/slice_0_img_121.npy,og_dataset/splits/dev/slice_0_mask_121.npy,0.0,0.0,0.0,113.70309448242188,348977.8947368421,3693633.086627418,dev
0,125,og_dataset/splits/train/slice_0_img_125.npy,og_dataset/splits/train/slice_0_mask_125.npy,0.0,0.0,0.0,123.689697265625,409705.6140350877,3693633.086627418,train
0,140,og_dataset/splits/train/slice_0_img_140.npy,og_dataset/splits/train/slice_0_mask_140.npy,0.0,0.0,0.0,121.3066177368164,409705.6140350877,3708815.2144659376,train
0,158,og_dataset/splits/train/slice_0_img_158.npy,og_dataset/splits/train/slice_0_mask_158.npy,0.0,0.0,0.0,112.1971435546875,455251.4035087719,3723997.342304458,train
0,159,og_dataset/splits/train/slice_0_img_159.npy,og_dataset/splits/train/slice_0_mask_159.npy,0.0,0.0,0.0,113.66559600830078,470433.3333333333,3723997.342304458,train
0,165,og_dataset/splits/test/slice_0_img_165.npy,og_dataset/splits/test/slice_0_mask_165.npy,0.0,0.0,0.0,69.14933013916016,333795.9649122807,3739179.4701429773,test
0,174,og_dataset/splits/dev/slice_0_img_174.npy,og_dataset/splits/dev/slice_0_mask_174.npy,0.0,0.0,0.0,112.22199249267578,470433.3333333333,3739179.4701429773,dev
0,190,og_dataset/splits/train/slice_0_img_190.npy,og_dataset/splits/train/slice_0_mask_190.npy,0.0,0.0,0.0,113.98831939697266,485615.2631578947,3754361.5979814967,train
0,197,og_dataset/splits/train/slice_0_img_197.npy,og_dataset/splits/train/slice_0_mask_197.npy,0.0,0.0,0.0,13.73952865600586,364159.8245614035,3769543.725820017,train
0,205,og_dataset/splits/train/slice_0_img_205.npy,og_dataset/splits/train/slice_0_mask_205.npy,0.0,0.0,0.0,84.47285461425781,485615.2631578947,3769543.725820017,train
0,206,og_dataset/splits/train/slice_0_img_206.npy,og_dataset/splits/train/slice_0_mask_206.npy,0.0,0.0,0.0,104.38164520263672,500797.1929824562,3769543.725820017,train
1,105,og_dataset/splits/train/slice_1_img_105.npy,og_dataset/splits/train/slice_1_mask_105.npy,0.0,0.0,0.0,124.60092163085938,445035.96786534047,4155241.0036547654,train
1,107,og_dataset/splits/train/slice_1_img_107.npy,og_dataset/splits/train/slice_1_mask_107.npy,0.0,0.0,0.0,66.2537612915039,475399.83932670235,4155241.0036547654,train
1,150,og_dataset/splits/train/slice_1_img_150.npy,og_dataset/splits/train/slice_1_mask_150.npy,0.18539047241210938,0.18479537963867188,0.0005950927734375,382.6861572265625,445035.96786534047,4200787.405116672,train
1,151,og_dataset/splits/test/slice_1_img_151.npy,og_dataset/splits/test/slice_1_mask_151.npy,0.26067352294921875,0.26067352294921875,0.0,379.8260192871094,460217.90359602135,4200787.405116672,test
1,165,og_dataset/splits/train/slice_1_img_165.npy,og_dataset/splits/train/slice_1_mask_165.npy,0.10814666748046875,0.10814666748046875,0.0,370.9550476074219,445035.96786534047,4215969.538937306,train
1,168,og_dataset/splits/train/slice_1_img_168.npy,og_dataset/splits/train/slice_1_mask_168.npy,0.16129302978515625,0.16129302978515625,0.0,437.91845703125,490581.77505738335,4215969.538937306,train
1,185,og_dataset/splits/train/slice_1_img_185.npy,og_dataset/splits/train/slice_1_mask_185.npy,0.19167327880859375,0.19167327880859375,0.0,448.8788146972656,520945.6465187452,4231151.672757942,train
1,186,og_dataset/splits/train/slice_1_img_186.npy,og_dataset/splits/train/slice_1_mask_186.npy,0.13732528686523438,0.13730239868164062,2.288818359375e-05,349.25146484375,536127.5822494262,4231151.672757942,train
1,196,og_dataset/splits/test/slice_1_img_196.npy,og_dataset/splits/test/slice_1_mask_196.npy,0.0,0.0,0.0,308.91900634765625,460217.90359602135,4246333.8065785775,test
1,199,og_dataset/splits/train/slice_1_img_199.npy,og_dataset/splits/train/slice_1_mask_199.npy,0.0,0.0,0.0,318.2557373046875,505763.7107880643,4246333.8065785775,train
2,001,og_dataset/splits/train/slice_2_img_001.npy,og_dataset/splits/train/slice_2_mask_001.npy,0.0,0.0,0.0,359.033203125,180647.87246120855,3414856.0563674322,train
2,010,og_dataset/splits/dev/slice_2_img_010.npy,og_dataset/splits/dev/slice_2_mask_010.npy,0.0,0.0,0.0,333.1492919921875,317285.10722845973,3414856.0563674322,dev
2,016,og_dataset/splits/dev/slice_2_img_016.npy,og_dataset/splits/dev/slice_2_mask_016.npy,0.0,0.0,0.0,317.8238525390625,180647.87246120855,3430038.1691022962,dev
2,020,og_dataset/splits/train/slice_2_img_020.npy,og_dataset/splits/train/slice_2_mask_020.npy,0.12053680419921875,0.12053680419921875,0.0,543.8927001953125,241375.5323577646,3430038.1691022962,train
2,039,og_dataset/splits/train/slice_2_img_039.npy,og_dataset/splits/train/slice_2_mask_039.npy,0.10030364990234375,0.10030364990234375,0.0,307.67919921875,302103.1922543207,3445220.2818371607,train
2,045,og_dataset/splits/train/slice_2_img_045.npy,og_dataset/splits/train/slice_2_mask_045.npy,0.0,0.0,0.0,321.4599609375,165465.9574870695,3460402.394572025,train
2,047,og_dataset/splits/dev/slice_2_img_047.npy,og_dataset/splits/dev/slice_2_mask_047.npy,0.24605178833007812,0.22533416748046875,0.020717620849609375,493.87982177734375,195829.78743534753,3460402.394572025,dev
2,062,og_dataset/splits/train/slice_2_img_062.npy,og_dataset/splits/train/slice_2_mask_062.npy,0.35003662109375,0.3090400695800781,0.040996551513671875,530.2218017578125,195829.78743534753,3475584.5073068896,train
2,077,og_dataset/splits/train/slice_2_img_077.npy,og_dataset/splits/train/slice_2_mask_077.npy,0.26153564453125,0.23885726928710938,0.022678375244140625,533.0368041992188,195829.78743534753,3490766.6200417536,train
2,078,og_dataset/splits/train/slice_2_img_078.npy,og_dataset/splits/train/slice_2_mask_078.npy,0.12122726440429688,0.11185073852539062,0.00937652587890625,534.4707641601562,211011.70240948652,3490766.6200417536,train
2,091,og_dataset/splits/train/slice_2_img_091.npy,og_dataset/splits/train/slice_2_mask_091.npy,0.1300201416015625,0.12355422973632812,0.006465911865234375,363.65399169921875,180647.87246120855,3505948.7327766176,train
2,092,og_dataset/splits/train/slice_2_img_092.npy,og_dataset/splits/train/slice_2_mask_092.npy,0.33594512939453125,0.3077430725097656,0.028202056884765625,529.9004516601562,195829.78743534753,3505948.7327766176,train
2,093,og_dataset/splits/test/slice_2_img_093.npy,og_dataset/splits/test/slice_2_mask_093.npy,0.158782958984375,0.15725326538085938,0.001529693603515625,525.5242919921875,211011.70240948652,3505948.7327766176,test
2,107,og_dataset/splits/train/slice_2_img_107.npy,og_dataset/splits/train/slice_2_mask_107.npy,0.10576248168945312,0.10096359252929688,0.00479888916015625,412.2950744628906,195829.78743534753,3521130.845511482,train
2,109,og_dataset/splits/test/slice_2_img_109.npy,og_dataset/splits/test/slice_2_mask_109.npy,0.18658828735351562,0.16588211059570312,0.0207061767578125,510.2079162597656,226193.6173836256,3521130.845511482,test
2,123,og_dataset/splits/train/slice_2_img_123.npy,og_dataset/splits/train/slice_2_mask_123.npy,0.0,0.0,0.0,300.2908630371094,211011.70240948652,3536312.9582463466,train
2,141,og_dataset/splits/train/slice_2_img_141.npy,og_dataset/splits/train/slice_2_mask_141.npy,0.14847564697265625,0.11852264404296875,0.0299530029296875,515.0802001953125,256557.44733190362,3551495.070981211,train
2,144,og_dataset/splits/train/slice_2_img_144.npy,og_dataset/splits/train/slice_2_mask_144.npy,0.0,0.0,0.0,6.140266418457031,302103.1922543207,3551495.070981211,train
2,151,og_dataset/splits/train/slice_2_img_151.npy,og_dataset/splits/train/slice_2_mask_151.npy,0.0,0.0,0.0,245.71615600585938,180647.87246120855,3566677.183716075,train
2,156,og_dataset/splits/train/slice_2_img_156.npy,og_dataset/splits/train/slice_2_mask_156.npy,0.1996002197265625,0.1719207763671875,0.027679443359375,515.08349609375,256557.44733190362,3566677.183716075,train
2,157,og_dataset/splits/test/slice_2_img_157.npy,og_dataset/splits/test/slice_2_mask_157.npy,0.22107315063476562,0.19005203247070312,0.0310211181640625,537.6259765625,271739.36230604263,3566677.183716075,test
2,158,og_dataset/splits/train/slice_2_img_158.npy,og_dataset/splits/train/slice_2_mask_158.npy,0.20755767822265625,0.20098495483398438,0.006572723388671875,400.3747253417969,286921.27728018165,3566677.183716075,train
2,166,og_dataset/splits/train/slice_2_img_166.npy,og_dataset/splits/train/slice_2_mask_166.npy,0.0,0.0,0.0,248.23231506347656,180647.87246120855,3581859.29645094,train
